"","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",20,97,3,2,1270,0.8446,0.9133,0.9266,8.5171,0.133333333333333,0.548444444444444,0.262814814814815,0.0554074074074074
"3",20,117,3,2,3679,0.4264,1.076,1.0696,15.9253,0.192,0.485037037037037,0.219555555555556,0.103407407407407
"4",20,105,3,1,1250,0.5758,1.0471,1.0152,14.9778,0.160296296296296,0.538074074074074,0.230814814814815,0.0708148148148148
"5",20,108,3,1,3602,0.9721,0.9574,0.9281,17.8132,0.128592592592593,0.533333333333333,0.288,0.0500740740740741
"6",20,73,2,4,1846,0.2913,0.9223,0.9642,12.5151,0.125333333333333,0.592,0.225185185185185,0.0574814814814815
"7",20,90,3,3,1935,0.447,0.9848,0.9023,7.2202,0.144,0.524444444444444,0.278222222222222,0.0533333333333333
"8",20,110,2,4,3834,0.3049,1.0409,1.0162,7.1023,0.136592592592593,0.509925925925926,0.245925925925926,0.107555555555556
"9",20,67,4,4,3173,0.7299,1.0499,0.947,5.3513,0.124740740740741,0.491555555555556,0.30162962962963,0.0820740740740741
"10",20,68,3,3,2005,0.7861,0.996,0.913,11.7579,0.124148148148148,0.520888888888889,0.294222222222222,0.0607407407407407
"11",20,110,3,3,2322,0.7665,1.0086,0.9693,11.4686,0.171259259259259,0.503703703703704,0.260444444444444,0.0645925925925926
